#Absolute timestamp,Relative timestamp,Throughput,Min,Avg,p50,p90,p95,p99,p999,p9999,Max
1626704053.000,0,41367,292608,3596822,1939455,5763071,8577023,18399231,134479871,347078655,391643135
1626704053.999,0,93990,269824,2110568,1373183,4395007,6377471,12075007,20103167,27066367,36536319
1626704054.999,1,104785,237184,1894512,1183743,3522559,4976639,10420223,82378751,86245375,87687167
1626704055.999,2,122738,217728,1616109,1043967,3164159,4583423,9428991,18857983,29523967,29818879
1626704056.999,3,102195,201856,1943951,1158143,3411967,4939775,10469375,124059647,129957887,132251647
1626704057.999,4,110774,184064,1666903,1127423,3250175,4718591,9666559,16842751,21938175,29655039
1626704058.999,5,142379,178432,1489215,901119,2494463,3522559,7483391,136314879,138805247,140509183
1626704059.999,6,132439,171392,1498982,900095,2486271,3454975,8560639,122290175,135004159,136839167
1626704060.999,7,138812,192000,1427437,868351,2295807,3160063,6950911,146800639,154009599,155844607
1626704061.999,8,165224,182400,1197058,812543,1903615,2498559,4644863,114622463,118685695,121896959
1626704062.999,9,182957,181504,996483,790015,1758207,2236415,3579903,8871935,12943359,19496959
1626704063.999,10,180217,183168,1176860,791039,1893375,2500607,4689919,114884607,118751231,120782847
1626704064.999,11,170872,164224,1157837,765951,1814527,2404351,4440063,126484479,131137535,134348799
1626704065.999,12,174937,182912,1130267,762879,1791999,2371583,4235263,118423551,119930879,121700351
1626704066.999,13,180184,180608,1097202,755711,1800191,2322431,3960831,104005631,106430463,108134399
1626704067.999,14,180065,161536,1097800,742911,1714175,2234367,3975167,114360319,121569279,124583935
1626704068.999,15,171597,185472,1152301,784895,1818623,2375679,4407295,115736575,118030335,118423551
1626704069.999,16,178432,190720,1108083,769023,1738751,2236415,3753983,117440511,118882303,122814463
1626704070.999,17,182198,164864,1084399,760831,1716223,2209791,3753983,107872255,109051903,111476735
1626704071.999,18,182846,180480,1081452,739327,1714175,2228223,3784703,114163711,116719615,117309439
1626704072.999,19,60992,189184,987084,743935,1831935,2338815,4177919,10125311,13508607,19300351
1626704086.001,33,57847,353280,2906269,1987583,5316607,7430143,16809983,41385983,65798143,76414975
1626704087.000,34,70700,300544,2817755,2009087,4804607,6832127,17842175,61079551,66879487,100270079
1626704088.000,35,76949,270848,2586597,1811455,4313087,6082559,15056895,55050239,63078399,92209151
1626704089.000,36,82131,263680,2422302,1824767,3981311,5603327,15204351,35356671,44367871,71499775
1626704090.000,37,81638,247936,2436362,1552383,4513791,6680575,18776063,48168959,61341695,75169791
1626704091.000,38,112583,191232,1764550,1170431,3194879,4718591,9723903,40108031,55541759,57802751
1626704092.000,39,106291,214656,1869185,1259519,3590143,5074943,10608639,29491199,41943039,55541759
1626704093.000,40,119997,211968,1652637,1148927,2988031,4382719,8650751,28852223,43810815,54394879
1626704094.000,41,110347,200576,1803708,1183743,3377151,4902911,10584063,31424511,59834367,74055679
1626704095.000,42,147287,178176,1345660,960511,2293759,3090431,6545407,31326207,34275327,43122687
1626704096.000,43,150720,214400,1314994,953855,2256895,3090431,6270975,38764543,42762239,53575679
1626704097.000,44,129615,214656,1527581,1034751,2598911,3637247,7962623,42270719,53149695,64782335
1626704098.000,45,146642,207488,1353572,957439,2375679,3262463,6766591,37027839,41975807,48398335
1626704099.000,46,151656,210176,1303213,964095,2242559,3016703,5943295,27918335,29523967,33587199
1626704100.000,47,151340,215040,1311934,944127,2187263,3065855,6082559,28688383,56983551,63438847
1626704101.000,48,153228,209920,1292645,933375,2234367,3053567,6451199,24674303,29425663,42041343
1626704102.000,49,149898,211328,1322366,954879,2277375,3192831,6189055,26099711,27934719,35422207
1626704103.000,50,155004,212480,1277532,968191,2174975,2918399,5828607,30212095,33816575,36405247
1626704104.000,51,155739,190336,1272532,930815,2144255,2871295,5754879,39354367,46694399,48463871
1626704105.000,52,151556,194432,1306868,931839,2263039,3115007,5976063,29540351,31686655,34766847
1626704106.000,53,154671,221952,1279616,948223,2213887,2992127,5906431,30015487,33374207,46071807
1626704107.000,54,155391,203008,1275412,867327,2154495,3012607,6774783,28393471,36863999,61767679
1626704108.000,55,157796,211072,1256047,931839,2179071,2910207,5705727,26771455,30162943,45973503
1626704109.000,56,70974,223488,1282823,945151,2095103,2723839,5836799,39288831,40697855,42663935
1626704121.001,68,30344,301568,1861268,1797119,2478079,2762751,3966975,13721599,14819327,15802367
1626704122.000,69,113898,310528,1737556,1499135,2502655,3119103,5484543,51740671,54198271,54493183
1626704123.000,70,143487,228608,1380021,1044991,2236415,2973695,6434815,33882111,35291135,40206335
1626704124.000,71,160533,216448,1234862,900607,2107391,2822143,5681151,25968639,30916607,34013183
1626704125.000,72,166962,194688,1185594,897023,2064383,2748415,5222399,17448959,19447807,23560191
1626704126.000,73,165204,202240,1197662,893439,2043903,2709503,5668863,19349503,24838143,31408127
1626704127.000,74,165198,217472,1199934,885247,2049023,2768895,5410815,22806527,27492351,34865151
1626704128.000,75,169096,197376,1169522,896511,2002943,2633727,4984831,19152895,23543807,31637503
1626704129.000,76,163653,195840,1208435,900607,2051071,2711551,5140479,26427391,28098559,31817727
1626704130.000,77,166765,204672,1187190,897535,2076671,2705407,5021695,20938751,26722303,30064639
1626704131.000,78,166931,197120,1185214,875007,2056191,2768895,5431295,21839871,24150015,24936447
1626704132.000,79,165288,201600,1197958,884735,2056191,2723839,5292031,24035327,30932991,33095679
1626704133.000,80,166451,195712,1189751,888319,2067455,2775039,5529599,20217855,23003135,31621119
1626704134.000,81,168404,198912,1175521,888319,2055167,2684927,5066751,21266431,22675455,27934719
1626704135.000,82,162422,228224,1219497,888319,2092031,2914303,6017023,21413887,23691263,39911423
1626704136.000,83,164314,219008,1204715,892415,2095103,2801663,5451775,24068095,31408127,39321599
1626704137.000,84,169367,223872,1168750,869375,2016255,2686975,5353471,19398655,24969215,34177023
1626704138.000,85,165698,201472,1194864,878079,2011135,2705407,5586943,23543807,28344319,35160063
1626704139.000,86,169573,197888,1167464,868351,2030591,2758655,5234687,22183935,24838143,39026687
1626704140.000,87,56412,212608,1220408,882687,1981439,2689023,5562367,25460735,27279359,40140799
1626704152.000,99,43864,242304,1945282,1863679,2557951,2918399,4411391,10321919,10862591,11681791
1626704152.999,99,127931,270080,1547183,1340415,2271231,2668543,5111807,23511039,24608767,27181055
1626704153.999,100,160595,211584,1232650,919039,2083839,2713599,5156863,26574847,32178175,36339711
1626704154.999,101,165409,209152,1196842,901631,2066431,2701311,5128191,24494079,26427391,33751039
1626704155.999,102,165899,188032,1193824,899583,2077695,2779135,5263359,24477695,29769727,36634623
1626704156.999,103,163145,190336,1213370,905727,2069503,2715647,5300223,22953983,27279359,38010879
1626704157.999,104,166312,220672,1190344,891903,2063359,2813951,5451775,21790719,25296895,33472511
1626704158.999,105,165476,212224,1196482,889343,2121727,2809855,5595135,20135935,22790143,31162367
1626704159.999,106,160886,210944,1230605,888831,2101247,2877439,6561791,22462463,24215551,33652735
1626704160.999,107,166185,200832,1191257,912383,2060287,2734079,5050367,19546111,22757375,30064639
1626704161.999,108,165215,184448,1198034,902143,2113535,2809855,5177343,20611071,23101439,24051711
1626704162.999,109,163153,190080,1213545,878591,2097151,2916351,5738495,22429695,24477695,29900799
1626704163.999,110,167145,210048,1184920,880639,2083839,2838527,5320703,20578303,30031871,32587775
1626704164.999,111,167523,215424,1181757,872447,2062335,2828287,5500927,21102591,23085055,29376511
1626704165.999,112,165905,220416,1185657,906751,2094079,2717695,5017599,19824639,24969215,38895615
1626704166.999,113,165280,212864,1205098,891903,2074623,2744319,5419007,21037055,25821183,33718271
1626704167.999,114,165558,208384,1195570,893439,2068479,2766847,5496831,23363583,30965759,38797311
1626704168.999,115,167806,206720,1179856,860159,2075647,2756607,5300223,22052863,28459007,38567935
1626704169.999,116,162232,189184,1219184,901119,2066431,2760703,5382143,23953407,28950527,33439743
1626704170.999,117,24481,233600,1164573,846335,2127871,2856959,5619711,14778367,20217855,28999679
1626704183.000,130,13370,232320,392838,360703,455167,516095,1125375,3094527,4714495,4845567
1626704183.999,130,25003,179072,626438,303615,366591,410367,14172159,21954559,23085055,23969791
1626704184.999,131,25001,153344,258888,257151,292607,304895,332543,403711,747519,1104895
1626704185.999,132,24999,156672,257258,256255,288511,299519,325119,374015,736767,836095
1626704186.999,133,25001,157568,257141,255871,289279,300799,324351,363775,745471,823807
1626704187.999,134,24999,163584,528802,259455,297983,316415,13172735,20905983,22839295,24297471
1626704188.999,135,25000,168192,266322,256127,292863,307199,364031,1728511,6504447,6606847
1626704189.999,136,25001,160512,256457,254975,288255,299263,325119,402943,798207,927231
1626704190.999,137,24999,150272,256269,254847,288511,299775,325119,369407,738815,873471
1626704191.999,138,25001,160640,256704,255359,288767,299775,325375,367359,775679,850943
1626704192.999,139,25000,157696,488920,254847,290815,306687,11354111,19693567,21250047,21594111
1626704193.999,140,24998,164480,257446,254463,289023,301311,331519,818175,1589247,5537791
1626704194.999,141,25002,170880,256483,255103,288511,300031,328191,409087,717823,774143
1626704195.999,142,25000,154880,256282,254719,288255,299519,329215,553983,774143,1038847
1626704196.999,143,24999,156032,534900,255487,301823,484607,11304959,18857983,20824063,21217279
1626704197.999,144,25001,161280,255317,254079,286975,297471,323327,365055,775167,916991
1626704198.999,145,24999,160256,254594,253439,286207,297215,322815,372991,739839,806911
1626704199.999,146,25001,159232,256236,255103,288255,299775,325119,368383,775167,819711
1626704200.999,147,25000,165120,258895,255871,291327,304127,335615,782335,1425407,1535999
1626704201.999,148,25000,145280,488708,258047,295423,311551,10944511,19742719,21020671,21282815
1626704202.999,149,24999,154496,260045,258175,291839,303103,330495,624127,1534975,2071551
1626704203.999,150,25001,167168,261438,259327,292863,304127,333311,694783,1495039,1696767
1626704204.999,151,25000,163072,259677,258175,291071,302847,329215,490239,866303,1051647
1626704205.999,152,24999,161920,258397,257151,290303,300799,327423,377599,741375,819199
1626704206.999,153,25002,164224,494273,259199,297215,314623,12017663,19693567,20774911,21233663
1626704207.999,154,25000,163456,254623,253311,285695,297215,322047,359935,778751,894975
1626704208.999,155,24999,155648,256120,254591,287743,299007,326655,494591,744959,818687
1626704209.999,156,25001,157312,257336,255743,289023,300287,328447,580607,1024511,1160191
1626704210.999,157,24998,152960,491778,257023,294655,311551,11640831,19775487,22298623,22839295
1626704211.999,158,25000,153856,260359,258815,293631,305151,331519,375551,737279,828415
1626704212.999,159,25001,158720,255797,254591,287231,298495,324863,362751,767487,1164287
1626704213.999,160,24999,162944,254922,253695,286207,297215,322303,368895,759807,903679
1626704214.999,161,25001,160256,255036,253695,286463,297983,323839,366335,772095,812543
1626704215.999,162,25000,150144,484680,255231,291327,307711,11403263,19349503,21561343,22708223
1626704216.999,163,24999,150272,255160,253951,287487,298239,323327,362495,718847,889343
1626704217.999,164,25000,158464,256323,254719,288255,299007,327423,588799,855551,898047
1626704218.999,165,25001,157824,255698,253183,287231,299775,329471,715775,1732607,1814527
1626704219.999,166,24998,163712,257715,256255,289791,301055,326143,482815,912383,1145855
1626704220.999,167,25001,158464,493641,253823,290303,306431,11894783,19824639,21266431,21381119
