#Absolute timestamp,Relative timestamp,Throughput,Min,Avg,p50,p90,p95,p99,p999,p9999,Max
1626783862.000,0,41019,367616,3238705,2152447,5976063,8126463,14589951,61341695,71827455,157417471
1626783862.999,0,87112,199552,2329618,1153023,3788799,5877759,14475263,108199935,295174143,298057727
1626783863.999,1,103063,188544,1926374,1078271,3307519,4919295,13246463,80216063,87752703,91881471
1626783864.999,2,101255,210560,1963653,1129471,3350527,4804607,10772479,91815935,102694911,102957055
1626783865.999,3,119601,196480,1658805,969727,2635775,3758079,8237055,89522175,104988671,105119743
1626783866.999,4,127888,184960,1548579,879615,2570239,3903487,9478143,77135871,85786623,93978623
1626783867.999,5,160924,189568,1193019,801791,1897471,2543615,5795839,79036415,85196799,85786623
1626783868.999,6,138464,157440,1379988,839679,2357247,3330047,8077311,89063423,106299391,110624767
1626783869.999,7,175436,185856,1202642,813055,1954815,2613247,5296127,98893823,104005631,104857599
1626783870.999,8,158401,176128,1120504,758271,1750015,2250751,3788799,111083519,127270911,137756671
1626783871.999,9,176916,176384,1225456,775167,1709055,2213887,4210687,123731967,126681087,128122879
1626783872.999,10,180336,173952,1095676,759807,1691647,2150399,3878911,116981759,120324095,123076607
1626783873.999,11,174696,183296,1131913,787455,1828863,2377727,4292607,98631679,100270079,105381887
1626783874.999,12,182126,186240,1084823,752639,1690623,2207743,3989503,104726527,119406591,120782847
1626783875.999,13,174608,182656,1131878,749567,1742847,2316287,4243455,131203071,141688831,144441343
1626783876.999,14,171514,187264,1149231,784895,1724415,2248703,4016127,134021119,139198463,146800639
1626783877.999,15,200878,172160,981401,775167,1764351,2242559,3614719,6733823,13516799,17448959
1626783878.999,16,175810,176128,1125558,753663,1647615,2123775,3819519,144834559,147849215,153092095
1626783879.999,17,208902,177664,944294,752639,1655807,2111487,3422207,6111231,16957439,18169855
1626783880.999,18,141051,178944,1195976,736255,1670143,2134015,3786751,175505407,192151551,194510847
1626783894.001,32,13314,401408,3716494,2316287,7389183,10182655,20725759,65273855,89849855,89980927
1626783895.000,33,63806,315648,3153295,2129919,5468159,7647231,22151167,70778879,81330175,110755839
1626783896.000,34,62684,329216,3183389,2795519,4677631,6356991,17022975,69795839,78446591,104660991
1626783897.000,35,60266,290304,3303953,2932735,3917823,5103615,15802367,44138495,85590015,105512959
1626783898.000,36,88638,263168,2244987,2011135,3551231,4935679,9461759,24526847,41353215,47906815
1626783899.000,37,78530,266496,2532547,1462271,4145151,6324223,19283967,83296255,106692607,134742015
1626783900.000,38,96283,240384,2064321,1386495,4184063,5713919,11763711,26116095,41877503,66453503
1626783901.000,39,104051,228608,1912906,1278975,3815423,5238783,11935743,22315007,40402943,50626559
1626783902.000,40,132581,225920,1494665,1049599,2476031,3497983,7966719,52559871,66682879,74121215
1626783903.000,41,153002,218112,1294978,955391,2318335,3327999,6279167,14065663,23871487,34406399
1626783904.000,42,136994,204288,1447999,944639,2244607,3151871,7032831,69337087,76611583,80674815
1626783905.000,43,157339,191104,1259425,951295,2234367,3057663,5947391,11403263,19431423,28049407
1626783906.000,44,131146,208384,1509089,1041407,2467839,3528703,7450623,73662463,80543743,85524479
1626783907.000,45,143426,176896,1382459,965631,2580479,3700735,7151615,16383999,22413311,36700159
1626783908.000,46,148428,222464,1335152,916479,2181119,2994175,5931007,83689471,87818239,94502911
1626783909.000,47,166113,198400,1191711,883199,2160639,2945023,5652479,10239999,16097279,31080447
1626783910.000,48,156575,193024,1239544,945151,2209791,2988031,5754879,10715135,18497535,31260671
1626783911.000,49,147824,216960,1367783,922623,2199551,2961407,6246399,97320959,114294783,124911615
1626783912.000,50,141897,200704,1396832,939519,2222079,3063807,6115327,107020287,111738879,120651775
1626783913.000,51,168159,203136,1175979,873471,2002943,2793471,5861375,12804095,22036479,34144255
1626783914.000,52,147067,208896,1348714,911359,2121727,2879487,5939199,105119743,118423551,125960191
1626783915.000,53,166444,200320,1188673,859647,2074623,2875391,6524927,14868479,24231935,40206335
1626783916.000,54,146818,213120,1350336,909823,2156543,2922495,5775359,111738879,116850687,122290175
1626783917.000,55,166663,204800,1187952,910847,2091007,2787327,5459967,11272191,18268159,49840127
1626783918.000,56,21952,220160,1228986,935423,2125823,2988031,6193151,15138815,19103743,20414463
1626783930.000,68,67266,289536,1651756,1542143,2189311,2543615,4239359,13639679,16080895,16244735
1626783930.999,68,135304,227584,1462129,1111039,1975295,2445311,4759551,123994111,126222335,128712703
1626783931.999,69,174522,206592,1134496,893951,1984511,2609151,4612095,8724479,14114815,19890175
1626783932.999,70,167546,224512,1136066,863743,1988607,2648063,5107711,10690559,16842751,24330239
1626783933.999,71,164099,187520,1252553,869887,1971199,2594815,4853759,109772799,112066559,116064255
1626783934.999,72,178334,198656,1109272,855551,1955839,2586623,5009407,9682943,15130623,27705343
1626783935.999,73,153670,190336,1290008,818175,2065407,2959359,6709247,108331007,109903871,111607807
1626783936.999,74,177225,211712,1116466,863743,1974271,2582527,4829183,8445951,14000127,22953983
1626783937.999,75,158991,196864,1245395,863231,1973247,2605055,4829183,104726527,108920831,112525311
1626783938.999,76,177436,196608,1114657,846847,1921023,2619391,5091327,11239423,16080895,29310975
1626783939.999,77,157927,179072,1251159,868863,1924095,2551807,4943871,108068863,112787455,116916223
