#Absolute timestamp,Relative timestamp,Throughput,Min,Avg,p50,p90,p95,p99,p999,p9999,Max
1626784786.999,0,89491,198912,2212736,1412095,4177919,6189055,12853247,32047103,285736959,468975615
1626784787.999,1,126431,222976,1565589,1025023,2889727,3946495,8667135,46661631,56819711,58458111
1626784788.999,2,131872,194688,1503650,966655,2920447,4386815,9625599,16654335,39026687,50692095
1626784789.999,3,125146,178176,1585321,947711,2678783,3944447,8265727,112066559,125632511,148766719
1626784790.999,4,180252,173696,1096865,782847,1752063,2215935,3913727,89456639,91095039,92667903
1626784791.999,5,189465,160128,1041958,773631,1842175,2473983,4755455,14245887,21037055,34406399
1626784792.999,6,167924,162688,1179267,762879,1767423,2353151,4755455,146538495,155320319,158334975
1626784793.999,7,187488,168704,1053618,721407,1684479,2185215,3694591,109969407,115146751,126222335
1626784794.999,8,182437,178688,1039644,736767,1630207,2072575,3461119,107675647,114098175,116064255
1626784795.999,9,172029,171776,1191394,736767,1679359,2211839,4272127,117833727,121896959,126615551
1626784796.999,10,200460,177024,985131,735231,1591295,2034687,3422207,15892479,72941567,73138175
1626784797.999,11,197647,185344,998488,734207,1589247,2055167,3405823,81461247,83361791,87162879
1626784798.999,12,200669,181632,983956,710143,1554431,2014207,3473407,21774335,91226111,91553791
1626784799.999,13,183547,174080,1071731,750591,1689599,2211839,4151295,96337919,100139007,102891519
1626784800.999,14,198758,175104,993932,730111,1597439,2062335,3416063,82575359,84541439,86704127
1626784801.999,15,198412,188672,995436,720895,1570815,2011135,3344383,94896127,98500607,102432767
1626784802.999,16,195837,151424,1008051,712703,1563647,2031615,3440639,106233855,107610111,110493695
1626784803.999,17,72135,181120,909777,720383,1568767,1990655,3430399,8048639,13074431,15400959
1626784817.000,31,67775,300288,2811761,2316287,4395007,6492159,15892479,32309247,63406079,81985535
1626784818.000,32,86616,263168,2290701,1863679,3600383,5206015,12607487,37912575,43089919,61439999
1626784819.000,33,64359,252672,2956193,2867199,3995647,5386239,12541951,35946495,56688639,68681727
1626784820.000,34,85679,236800,2428980,1515519,4620287,6791167,14647295,65339391,73203711,83034111
1626784821.000,35,112304,216576,1769243,1151999,3293183,4935679,12034047,30719999,40501247,54460415
1626784822.000,36,128456,197504,1544490,1094655,2643967,3717119,8019967,42565631,65110015,85917695
1626784823.000,37,126038,204928,1561164,1038847,2789375,4272127,9011199,41648127,49053695,55083007
1626784824.000,38,141885,202496,1410513,988671,2363391,3344383,7299071,37912575,39026687,45973503
1626784825.000,39,166763,205824,1185288,868351,2002943,2736127,5373951,39813119,43745279,43876351
1626784826.000,40,171004,203904,1159560,864767,1924095,2516991,5021695,47218687,51249151,53411839
1626784827.000,41,170639,197120,1139158,837119,1872895,2494463,4939775,47120383,60751871,70254591
1626784828.000,42,171051,175104,1177468,849407,1891327,2490367,4825087,40304639,43319295,52953087
1626784829.000,43,169898,197888,1164383,844287,1940479,2619391,5255167,52199423,59342847,59375615
1626784830.000,44,171953,210432,1150289,846847,1885183,2519039,5046271,51019775,60227583,62554111
1626784831.000,45,176153,191104,1124103,829439,1883135,2500607,5214207,36732927,40304639,41877503
1626784832.000,46,177521,179584,1113399,837119,1861631,2514943,4599807,35880959,37715967,42008575
1626784833.000,47,168288,196352,1177212,864255,1943551,2600959,5435391,35749887,37912575,56918015
1626784834.000,48,183692,189184,1075843,812543,1803263,2312191,4354047,43220991,44728319,45809663
1626784835.000,49,176121,208512,1123627,834047,1826815,2428927,4849663,47185919,49446911,53510143
1626784836.000,50,185177,193664,1067881,806911,1799167,2392063,4175871,38928383,40828927,44793855
1626784837.000,51,98628,194304,1072243,801279,1724415,2203647,3817471,41123839,44269567,44302335
1626784849.001,63,16639,262016,1743310,1614847,2467839,2807807,5906431,11845631,13615103,17121279
1626784850.000,64,120207,322816,1647196,1556479,2189311,2480127,3657727,39256063,40402943,42172415
1626784851.000,65,159733,220416,1237985,931839,1940479,2508799,4964351,35946495,42008575,48103423
1626784852.000,66,183826,206464,1076284,817151,1797119,2320383,4259839,32505855,35454975,38469631
1626784853.000,67,183625,193664,1077055,829439,1828863,2392063,4268031,26558463,27721727,30097407
1626784854.000,68,188147,194176,1050679,803327,1789951,2371583,4206591,23756799,25919487,26869759
1626784855.000,69,186659,216960,1059751,820223,1816575,2377727,4116479,26902527,27934719,32784383
1626784856.000,70,186300,212352,1061449,814591,1813503,2369535,4147199,26640383,28999679,47906815
