#Absolute timestamp,Relative timestamp,Throughput,Min,Avg,p50,p90,p95,p99,p999,p9999,Max
1626786361.001,0,40120,305664,3237309,1941503,5619711,7839743,19841023,106758143,294387711,323223551
1626786362.000,1,85742,238976,2309226,1407999,4042751,5750783,11927551,76873727,80084991,81723391
1626786363.000,2,98790,236544,1917232,1113087,3280895,4845567,10444799,75300863,81788927,92209151
1626786364.000,3,94049,221696,2211670,1285119,3817471,5496831,14598143,60620799,67960831,79101951
1626786365.000,4,104110,192384,1904915,1092607,3344383,5058559,11116543,71106559,79691775,84344831
1626786366.000,5,114406,217472,1736382,983551,2899967,4259839,10567679,59113471,61439999,72679423
1626786367.000,6,146926,185344,1349895,779263,1884159,2648063,6668287,61734911,64618495,82051071
1626786368.000,7,141263,174592,1402933,856063,2246655,3024895,8093695,55836671,63635455,63799295
1626786369.000,8,140871,158976,1406757,821247,2071551,2942975,9150463,50626559,56295423,61931519
1626786370.000,9,166056,179072,1191575,762367,1710079,2215935,4235263,50003967,53870591,57901055
1626786371.000,10,162757,175488,1215722,758783,1742847,2220031,4931583,53903359,62160895,66617343
1626786372.000,11,160068,187648,1186681,741375,1688575,2215935,4110335,51675135,55771135,64684031
1626786373.000,12,158726,181376,1289679,780799,1788927,2332671,5390335,52985855,56623103,64847871
1626786374.000,13,159667,176768,1239181,792063,1836031,2371583,4816895,48332799,58785791,59736063
1626786375.000,14,163133,164736,1211506,747007,1722367,2275327,4804607,53805055,65437695,65601535
1626786376.000,15,165036,184960,1198495,748543,1704959,2250751,4497407,57081855,62160895,71696383
1626786377.000,16,158179,168960,1252795,754687,1690623,2189311,4820991,54296575,59310079,63012863
1626786378.000,17,165132,191616,1197936,761855,1718271,2234367,4739071,52363263,60227583,61538303
1626786379.000,18,166586,184448,1188054,734719,1683455,2201599,5017599,52789247,61112319,61374463
1626786380.000,19,159366,179072,1207882,745471,1690623,2211839,4423679,56262655,60129279,64946175
1626786381.000,20,170683,180480,1190567,717823,1607679,2107391,4268031,55967743,57376767,62226431
1626786382.000,21,78334,181248,1179580,752639,1700863,2226175,4161535,46858239,54624255,55541759
1626786395.001,34,45207,320000,3082837,2191359,5746687,7933951,15400959,34308095,59736063,85721087
1626786396.000,35,65063,295936,3064695,2811903,4579327,6533119,14942207,35618815,69926911,106758143
1626786397.000,36,84265,277248,2363825,1591295,4374527,5992447,13426687,55967743,68812799,90570751
1626786398.000,37,72406,243712,2743098,1853439,5406719,7405567,16375807,34045951,53870591,69271551
1626786399.000,38,67648,251264,2950893,2830335,3799039,4554751,11763711,74514431,90046463,124059647
1626786400.000,39,99131,224896,2005295,1416191,4018175,5279743,10133503,23691263,37027839,54657023
1626786401.000,40,113490,202240,1746335,1168383,3219455,4603903,9224191,54591487,60063743,66584575
1626786402.000,41,133505,195840,1488859,1019391,2580479,3700735,7340031,54231039,65372159,68288511
1626786403.000,42,132840,203392,1494178,1029119,2598911,3674111,7868415,46202879,54001663,59932671
1626786404.000,43,141048,203264,1402747,916991,2291711,3362815,7495679,48136191,54624255,61964287
1626786405.000,44,142444,212224,1395241,951807,2260991,3166207,6864895,51380223,57835519,72286207
1626786406.000,45,125228,186624,1584904,952831,2252799,3153919,7716863,59736063,69533695,89653247
1626786407.000,46,139523,213376,1360266,944639,2281471,3106815,6807551,55115775,64356351,71303167
1626786408.000,47,154694,197504,1334505,966655,2273279,3121151,6889471,49315839,58261503,58359807
1626786409.000,48,145457,197632,1362860,951807,2181119,3024895,5971967,50659327,64880639,77660159
1626786410.000,49,136131,200704,1457286,903679,2228223,3131391,8462335,57409535,68354047,72286207
1626786411.000,50,149001,207872,1330241,948223,2228223,3110911,6369279,44761087,56426495,78905343
1626786412.000,51,133244,204032,1488449,951807,2256895,3100671,6922239,61177855,63340543,75104255
1626786413.000,52,126029,212096,1554696,1005567,2342911,3258367,7450623,53608447,75235327,88408063
1626786414.000,53,151647,205696,1323471,916991,2150399,2889727,5955583,49414143,54624255,67436543
1626786415.000,54,145493,197760,1362087,942591,2205695,3004415,5988351,49938431,59211775,77004799
1626786416.000,55,156110,212864,1268755,889855,2170879,2996223,5857279,49086463,58621951,77922303
1626786417.000,56,135027,209920,1468686,960511,2228223,3069951,6533119,57343999,63700991,63799295
1626786418.000,57,152895,202368,1294907,907263,2191359,3022847,6709247,43548671,55017471,57180159
1626786419.000,58,52474,201216,1302879,952319,2267135,3131391,7757823,14041087,19890175,32145407
1626786431.001,70,45167,250368,1918516,1704959,2267135,2535423,4558847,38567935,39419903,40173567
1626786432.000,71,129183,238208,1533407,1323007,2174975,2639871,4968447,40501247,44302335,46661631
1626786433.000,72,164336,202880,1203426,864255,2021375,2709503,5361663,45481983,52133887,54919167
1626786434.000,73,161359,195456,1227783,893439,2053119,2783231,5402623,47579135,63242239,68812799
1626786435.000,74,153662,211456,1288867,888831,2056191,2770943,5636095,51675135,62062591,70582271
1626786436.000,75,112431,199936,1706925,1094655,2715647,3764223,8413183,51970047,57376767,68878335
1626786437.000,76,143087,199040,1428863,945663,2291711,3201023,7798783,51445759,79888383,114622463
1626786438.000,77,139777,180992,1422740,922111,2174975,3014655,7729151,52985855,64389119,73007103
1626786439.000,78,172542,171776,1146990,873983,2027519,2660351,5328895,10420223,15089663,23298047
1626786440.000,79,153918,203264,1283291,882687,2049023,2793471,5623807,54886399,62029823,69337087
1626786441.000,80,163207,220288,1213245,892415,2049023,2727935,5345279,49414143,52494335,55148543
1626786442.000,81,146129,182272,1354087,914943,2160639,3028991,6250495,53903359,72351743,73465855
1626786443.000,82,162342,208384,1220858,860159,2072575,2787327,5410815,53936127,64978943,73793535
1626786444.000,83,164894,217856,1200329,859647,2000895,2678783,5378047,51806207,64847871,77332479
1626786445.000,84,164941,182656,1200451,858111,2023423,2691071,5423103,51019775,64716799,74579967
1626786446.000,85,175151,183040,1130107,847871,2046975,2721791,5222399,9822207,14532607,22626303
1626786447.000,86,153415,196480,1291193,865791,2040831,2820095,6447103,53215231,58589183,73072639
1626786448.000,87,162783,214784,1216567,883711,2013183,2693119,5025791,51216383,65470463,71565311
1626786449.000,88,161450,182016,1224302,883199,2053119,2834431,5570559,49905663,63832063,71368703
1626786450.000,89,151603,189568,1307786,861183,2071551,2830335,6361087,56295423,74711039,88670207
1626786451.000,90,18623,217728,1758798,999423,2092031,2992127,49151999,56786943,60784639,62455807
1626786463.000,102,71521,257536,1570791,1287167,1951743,2406399,6754303,55279615,57737215,58720255
1626786463.999,102,154239,213760,1282642,952831,2020351,2697215,5980159,49840127,58392575,68878335
1626786464.999,103,161188,220416,1229260,873983,2085887,2820095,5902335,48398335,55934975,60227583
1626786465.999,104,170698,197760,1158690,852479,2067455,2777087,5832703,11558911,19169279,27443199
1626786466.999,105,152596,212352,1298857,880127,2082815,2820095,5763071,55083007,71041023,92864511
1626786467.999,106,162541,195712,1218489,897023,2037759,2713599,5332991,50135039,65110015,68091903
1626786468.999,107,132478,207872,1497683,885759,2160639,3008511,7847935,59867135,67371007,84410367
1626786469.999,108,135620,202624,1463575,929791,2127871,2904063,7249919,49872895,66420735,75890687
1626786470.999,109,155687,215808,1272059,882175,2054143,2752511,5828607,44793855,58032127,71958527
1626786471.999,110,163667,194304,1210353,869375,2089983,2779135,5386239,46268415,62488575,63406079
1626786472.999,111,169728,201472,1165635,888831,2058239,2732031,5427199,11411455,14598143,21495807
1626786473.999,112,163117,206720,1214302,894975,2042879,2729983,4927487,47316991,55640063,59637759
1626786474.999,113,162484,199808,1218873,882687,2022399,2709503,5763071,49086463,58556415,62652415
1626786475.999,114,162020,213632,1221665,870399,2069503,2740223,5025791,51150847,69140479,70975487
1626786476.999,115,167523,211840,1182678,884223,2083839,2854911,5619711,11935743,21315583,30195711
1626786477.999,116,162791,197376,1216490,859135,2030591,2758655,5726207,49479679,73072639,77004799
1626786478.999,117,161241,181760,1227851,865279,2023423,2760703,6197247,45481983,61931519,79822847
1626786479.999,118,170469,212352,1161487,880127,2066431,2752511,5468159,10887167,13647871,22675455
1626786480.999,119,161402,189952,1227404,888319,2081791,2766847,5300223,48758783,51544063,58556415
1626786481.999,120,58990,218368,1160546,899071,2010111,2652159,5349375,9814015,17727487,24297471
1626786494.000,133,9595,240768,395684,356095,456447,541695,1252351,3659775,10739711,10739711
1626786494.999,133,25007,165120,297164,287743,352511,379903,468479,1326079,3074047,4755455
1626786495.999,134,25000,158720,255885,254207,289535,301567,328959,359679,1046527,1159167
1626786496.999,135,25001,158592,255808,254335,289023,300799,327423,372223,457471,678399
1626786497.999,136,24999,162688,253557,251903,286719,298495,323327,363775,411647,707071
1626786498.999,137,25000,152192,253393,251903,286719,298495,324351,355839,457215,964095
1626786499.999,138,25000,153216,258123,253951,291071,304895,345087,1093631,1946623,5918719
1626786500.999,139,25000,153728,254799,252415,287231,299519,328447,632831,1503231,2089983
1626786501.999,140,24999,147584,2205920,262399,374015,16736255,46301183,53247999,54493183,54788095
1626786502.999,141,25000,158464,258684,256127,296959,310783,342015,392447,441343,2258943
1626786503.999,142,25001,157056,252343,251263,285183,296703,321279,351743,389887,421887
1626786504.999,143,25000,163456,252696,251263,285695,297471,322815,355071,378367,820735
1626786505.999,144,25001,160128,1784856,254463,309247,10084351,41189375,48988159,51216383,54067199
1626786506.999,145,24999,156416,252673,251263,285695,298495,324607,363775,727039,1079295
1626786507.999,146,24999,156160,254381,252159,287487,299775,329983,587775,907263,1409023
