#Absolute timestamp,Relative timestamp,Throughput,Min,Avg,p50,p90,p95,p99,p999,p9999,Max
1626700708.000,0,25360,399616,3741643,2621439,6627327,9068543,15097855,180879359,310640639,343932927
1626700708.999,0,66759,334592,2981934,1860607,6721535,9551871,15884287,28426239,43417599,54329343
1626700709.999,1,73806,313088,2687764,1652735,5820415,8519679,15376383,29736959,41844735,43286527
1626700710.999,2,65903,334080,3023480,2009087,6520831,9240575,16023551,28966911,44105727,52133887
1626700711.999,3,87224,270848,2278185,1473535,4780031,6942719,12558335,19431423,25952255,38961151
1626700712.999,4,82181,277760,2423616,1586175,5124095,7254015,13615103,23396351,32129023,51904511
1626700713.999,5,94513,235776,2102191,1388543,4243455,6205439,13082623,21839871,26755071,42958847
1626700714.999,6,131490,212224,1507761,992767,2969599,4251647,9166847,15081471,22380543,27492351
1626700715.999,7,138205,193024,1432683,920575,2682879,3985407,9543679,18284543,24920063,41091071
1626700716.999,8,120674,195072,1645478,1015807,3330047,5193727,10239999,21315583,32047103,39321599
1626700717.999,9,107855,242560,1841186,1214463,3618815,5468159,10354687,20496383,25264127,37486591
1626700718.999,10,114557,201472,1731779,1047551,3514367,5734399,11526143,17465343,25772031,31293439
1626700719.999,11,122954,200320,1615283,989183,3229695,4952063,10977279,16236543,23937023,32473087
1626700720.999,12,118470,211456,1672158,1044479,3385343,5283839,10518527,16113663,29245439,47480831
1626700721.999,13,98064,195328,2029668,958975,3768319,11681791,16162815,26001407,43679743,43745279
1626700722.999,14,153593,180480,1288800,920575,2381823,3291135,6381567,13320191,14786559,20348927
1626700723.999,15,150178,192768,1313199,884223,2365439,3338239,9576447,16908287,23691263,27852799
1626700724.999,16,103819,184064,1919189,909311,2568191,3905535,12066815,265682943,281804799,295698431
1626700725.999,17,151405,186496,1310331,986623,2418687,3233791,6205439,13410303,16498687,22642687
1626700726.999,18,79795,205568,1445748,903679,2584575,3977215,12533759,20004863,24805375,30031871
1626700728.999,20,131594,195072,3662711,988671,2957311,4468735,8904703,1430257663,1440743423,1444937727
1626700729.999,21,139621,210304,1416335,1021439,2639871,3741695,7163903,13557759,21446655,24002559
1626700730.999,22,155361,175488,1274653,893951,2349055,3301375,7311359,14024703,27443199,27590655
1626700731.999,23,140218,190976,1413869,1050623,2660351,3493887,6340607,13156351,21217279,23019519
1626700732.999,24,160018,149632,1237729,859135,2170879,3000319,7516159,22986751,25788415,43286527
1626700733.999,25,145687,196096,1358866,941567,2633727,3606527,6709247,13885439,24182783,24494079
1626700734.999,26,40696,221184,1504819,1035263,2844671,3969023,8454143,19709951,21463039,26378239
1626700747.999,39,59022,366592,3306421,2297855,6303743,8830975,18169855,38993919,57835519,83820543
1626700748.999,40,63508,370176,3133612,2226175,5787647,7983103,16957439,38141951,59080703,86966271
1626700749.999,41,50895,352000,3917186,3090431,6733823,10764287,20054015,42860543,62980095,109903871
1626700750.999,42,46608,2125824,4283360,4179967,5001215,5386239,6799359,12623871,20316159,35225599
1626700751.999,43,53022,259840,3758963,3106815,4935679,7049215,21708799,134217727,162004991,198705151
1626700752.999,44,62949,325632,3165891,3045375,4624383,6098943,11509759,29310975,55443455,80674815
1626700753.999,45,72960,1012736,2730359,2490367,3362815,3805183,7786495,19447807,27541503,40402943
1626700754.999,46,71023,1262592,2802488,2631679,3557375,4128767,6291455,15843327,25608191,42303487
1626700755.999,47,66894,1160192,2980028,2787327,3839999,4415487,6750207,13590527,19283967,39747583
1626700756.999,48,87943,239744,2258169,1633279,4202495,6291455,12525567,27017215,42401791,59047935
1626700757.999,49,84029,239360,2370192,1572863,4657151,6762495,14065663,32800767,46530559,64028671
1626700758.999,50,109494,210944,1813910,1329151,3385343,4603903,9240575,21544959,37486591,54722559
1626700759.999,51,97315,246912,2044823,1518591,3794943,5156863,10780671,20971519,33685503,48037887
1626700760.999,52,109987,226048,1799638,1224703,3379199,5091327,10919935,20070399,36962303,51085311
1626700761.999,53,92240,242048,2162556,1386495,4222975,6479871,13418495,21987327,31555583,57016319
1626700762.999,54,106441,248960,1864618,1302527,3500031,5087231,9986047,19431423,38961151,74579967
1626700763.999,55,89656,247296,2220134,1559551,4308991,5771263,11624447,23592959,39026687,50626559
1626700764.999,56,106925,246016,1858267,1330175,3604479,4988927,9330687,18300927,32489471,46530559
1626700765.999,57,85682,228992,2321025,1443839,4616191,8015871,14565375,22364159,36962303,61177855
1626700766.999,58,107783,233472,1842705,1297407,3635199,5169151,9347071,19988479,33538047,53673983
1626700767.999,59,92960,221568,2138518,1541119,4118527,5595135,10502143,23298047,40959999,56655871
1626700768.999,60,103316,220288,1925096,1274879,3475455,5660671,12820479,21856255,31014911,42696703
1626700769.999,61,93266,233728,2131421,1388543,3866623,6115327,14295039,24657919,36765695,80150527
1626700770.999,62,122782,211072,1617747,1198079,2916351,4136959,8122367,16441343,27934719,49283071
1626700771.999,63,104500,247936,1900357,1396735,3620863,4808703,9076735,20086783,33816575,46071807
1626700772.999,64,115840,239360,1715090,1219583,3153919,4517887,9576447,19742719,32079871,50921471
1626700773.999,65,95864,248320,2070992,1367039,3733503,5545983,14024703,24297471,37650431,60784639
1626700774.999,66,121037,233472,1643306,1191935,2928639,4358143,9297919,18235391,26607615,54296575
1626700775.999,67,107358,243328,1850896,1335295,3561471,5046271,9388031,19644415,34373631,60588031
1626700776.999,68,107382,232192,1850913,1320959,3393535,4763647,10608639,20692991,27394047,45449215
1626700777.999,69,117979,243328,1678099,1161215,3010559,4575231,10190847,21266431,34111487,55508991
1626700778.999,70,86460,235520,2308444,1463295,4362239,6836223,15925247,33587199,48594943,87556095
1626700779.999,71,102853,249216,1931870,1398783,3672063,5111807,9895935,20152319,34013183,54001663
1626700780.999,72,4027,317952,1994145,1583103,3409919,4603903,9846783,16859135,25133055,25133055
1626700793.000,85,71835,293632,2005225,1868799,2699263,3190783,5603327,11829247,14598143,27607039
1626700793.999,85,115484,247936,1717155,1256447,2947071,4136959,8880127,34930687,37388287,46497791
1626700794.999,86,125795,218368,1579037,1180671,2842623,3991551,7790591,15458303,25870335,38928383
1626700795.999,87,113311,243840,1751605,1324031,3123199,4358143,8486911,16252927,27885567,45809663
1626700796.999,88,131816,231680,1505388,1121279,2725887,3694591,7245823,16605183,37388287,62390271
1626700797.999,89,109075,238592,1821298,1345535,3315711,4730879,9469951,19382271,30769151,47841279
1626700798.999,90,132009,229120,1502524,1115135,2693119,3823615,7479295,17825791,26361855,38928383
1626700799.999,91,108875,241408,1826293,1333247,3327999,4653055,9854975,18022399,34930687,41549823
1626700800.999,92,126238,238976,1571897,1157119,2809855,3983359,7987199,18448383,35651583,57802751
1626700801.999,93,114061,249728,1740920,1253375,3205119,4497407,9338879,18661375,30343167,38502399
1626700802.999,94,132169,211456,1500819,1102847,2781183,3899391,6852607,14172159,22315007,32276479
1626700803.999,95,109487,229632,1815813,1311743,3330047,4775935,9895935,20512767,37847039,50495487
1626700804.999,96,129939,224512,1526493,1108991,2803711,4042751,7663615,14737407,24428543,38404095
1626700805.999,97,108000,244352,1840066,1303551,3366911,4902911,10698751,21659647,33816575,45350911
1626700806.999,98,123259,231808,1610605,1212415,2908159,4030463,7716863,15466495,26804223,36569087
1626700807.999,99,117094,218624,1695707,1222655,3147775,4448255,9281535,19890175,28295167,38797311
1626700808.999,100,120432,219008,1646357,1187839,2983935,4272127,8478719,19169279,31064063,34177023
1626700809.999,101,121786,220160,1631360,1192959,2965503,4089855,8871935,19415039,31424511,36077567
1626700810.999,102,127980,213120,1551743,1162239,2777087,3880959,7880703,15613951,26558463,46170111
1626700811.999,103,109642,239360,1813129,1362943,3356671,4575231,8388607,15638527,28098559,35258367
1626700812.999,104,119795,186752,1656011,1184767,3022847,4288511,9125887,19398655,25559039,34078719
1626700813.999,105,124336,223616,1597369,1172479,2869247,4098047,8495103,15417343,25575423,33046527
1626700814.999,106,124673,234240,1590793,1160191,2887679,4050943,7786495,19759103,33652735,36503551
