#Absolute timestamp,Relative timestamp,Throughput,Min,Avg,p50,p90,p95,p99,p999,p9999,Max
1626701574.000,0,53153,304384,2511303,1683455,4972543,6950911,12886015,38076415,129630207,145096703
1626701574.999,0,104968,232832,1891197,1184767,3885055,5529599,10813439,18857983,31277055,51576831
1626701575.999,1,115452,204800,1719597,1069055,3465215,5246975,10805247,19906559,28655615,31424511
1626701576.999,2,117679,203776,1686104,1087487,3297279,5103615,10657791,17481727,20250623,33849343
1626701577.999,3,133687,187136,1484471,980479,2859007,4268031,9502719,14761983,29753343,30556159
1626701578.999,4,141942,158080,1395672,881151,2699263,4272127,9011199,16400383,27115519,27721727
1626701579.999,5,158543,172032,1248823,848895,2328575,3348479,7438335,13828095,20299775,27623423
1626701580.999,6,150190,169600,1319604,929279,2496511,3465215,7258111,14172159,24313855,25755647
1626701581.999,7,168213,171776,1175863,837119,2166783,2947071,6250495,16826367,19136511,22790143
1626701582.999,8,6151,199936,1198742,835583,2344959,3508223,5701631,9404415,9584639,9584639
1626701583.999,9,32930,191872,10711715,420863,908799,1462271,4829183,1630535679,1631584255,1632632831
1626701584.999,10,171558,156416,1382783,731647,1813503,2267135,4222975,24690687,536870911,544210943
1626701585.999,11,160208,160896,1229102,1073151,2081791,2555903,3985407,9396223,16228351,17055743
1626701586.999,12,70857,179584,1147823,792575,2197503,3061759,6311935,12140543,14319615,21004287
1626701587.999,13,71391,134272,4387591,841215,2088959,2891775,6602751,1150287871,1159725055,1162870783
1626701588.999,14,55627,180736,1129685,759807,1847295,2508799,4825087,12484607,554696703,689438719
1626701589.999,15,30665,192512,10178130,944639,2824191,4175871,13082623,1348468735,1352663039,1367343103
1626701591.999,17,142965,178432,2976851,759807,1850367,2400255,4382719,1405091839,1414529023,1416626175
1626701592.999,18,185331,164864,1067046,786943,1911807,2553855,4620287,14811135,20709375,32456703
1626701593.999,19,125132,191360,1154966,966143,2013183,2478079,3921919,10526719,14467071,16728063
1626701594.999,20,76379,205568,3299990,853503,1956863,2676735,7131135,825229311,826802175,831520767
1626701595.999,21,196360,169728,1006546,747519,1807359,2422783,4280319,12820479,20905983,25935871
1626701596.999,22,81895,130816,1017049,743423,1854463,2592767,4911103,9281535,12763135,17055743
1626701597.999,23,11844,128704,24191254,335871,1582079,2478079,1394606079,1404043263,1405091839,1409286143
1626701598.999,24,141260,135168,1608080,834559,2025471,2576383,4845567,379584511,432537599,457179135
1626701599.999,25,148170,174848,1067057,774143,1969151,2705407,4935679,12091391,15253503,20267007
1626701601.999,27,6602,205824,53800374,1073151,4562943,10141695,1719664639,1729101823,1730150399,1730150399
1626701602.999,28,134348,157824,2106624,1123327,2030591,2418687,4077567,580386815,583008255,586153983
1626701603.999,29,6500,299776,1535866,1448959,2408447,2713599,3303423,4268031,5025791,5025791
1626701616.001,42,1264,503808,4632674,2596863,10739711,14049279,21757951,34668543,36339711,36339711
1626701617.000,43,83190,256896,2396517,1655807,4538367,6352895,13434879,30277631,50888703,93061119
1626701618.000,44,98315,219904,2021888,1327103,4012031,5591039,12976127,29589503,54001663,103546879
1626701619.000,45,139314,198272,1423867,1038335,2539519,3719167,7344127,15736831,31981567,42696703
1626701620.000,46,94196,221312,2111962,1271807,3790847,5431295,11763711,80674815,110428159,115015679
1626701621.000,47,140024,214784,1415892,1077247,2525183,3459071,6533119,12828671,28213247,31522815
1626701622.000,48,127981,222976,1550352,1029631,2480127,3500031,7196671,109445119,114622463,126091263
1626701623.000,49,125916,194432,1575605,1027583,2424831,3418111,7684095,91619327,140115967,142737407
1626701624.000,50,149383,208512,1326903,1008639,2365439,3231743,6074367,12173311,21495807,28606463
1626701625.000,51,106445,192640,1865030,1033727,2832383,4159487,9658367,194510847,204603391,216793087
1626701626.000,52,88753,206848,1704626,1216511,3362815,4669439,8880127,21069823,33882111,55869439
1626701627.000,53,133932,212352,1838335,962559,2275327,3039231,6512639,372244479,397672447,408158207
1626701628.000,54,91623,174976,2169966,919039,2209791,3141631,7421951,416808959,425197567,448528383
1626701629.000,55,153870,212608,1287730,980991,2285567,3158015,5976063,13000703,19857407,29360127
1626701630.000,56,91029,206976,2184913,964607,2349055,3282943,7147519,405274623,411828223,420741119
1626701631.000,57,126420,186752,1272969,960511,2238463,3119103,6328319,12664831,23478271,32555007
1626701632.000,58,117899,202240,2002031,993791,2396159,3465215,7946239,375652351,383516671,391643135
1626701633.000,59,100398,216320,1974889,973823,2381823,3311615,8331263,295698431,326893567,329777151
1626701634.000,60,156589,199296,1268939,940031,2234367,3082239,6385663,13893631,25739263,42860543
1626701635.000,61,130527,190848,1519507,906239,2170879,3049471,6574079,187695103,201981951,215613439
1626701636.000,62,119741,213376,1229281,924159,2174975,2975743,5906431,12525567,21577727,29474815
1626701637.000,63,122709,200192,2034934,905215,2213887,3237887,6664191,493092863,498597887,502530047
